"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"NPTH";108;"NPTH";;;
2;"J1,J1,J1,J1";"PinHeader_1x02_P2.54mm_Vertical";4;"RESET";;;
3;"D6,D5,D4,D3,D2,D1,D6,D5,D4,D3,D2,D1,D6,D5,D4,D3,D2,D1,D6,D5,D4,D3,D2,D1";"LED_D10.0mm";24;"LED";;;
4;"Y1,Y1,Y1,Y1";"Crystal_HC49-4H_Vertical";4;"Crystal";;;
5;"U3,U3,U3,U3";"SOIC-16_3.9x9.9mm_P1.27mm";4;"CH340G";;;
6;"R10,R4,R3,R2,R1,R10,R4,R3,R2,R1,R10,R4,R3,R2,R1,R10,R4,R3,R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";20;"10k";;;
7;"Q5,Q4,Q3,Q2,Q1,Q5,Q4,Q3,Q2,Q1,Q5,Q4,Q3,Q2,Q1,Q5,Q4,Q3,Q2,Q1";"SOT-23";20;"BC817";;;
8;"C5,C3,C5,C3,C5,C3,C5,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"22pF";;;
9;"C4,C2,C4,C2,C4,C2,C4,C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"100nF";;;
10;"G1,G***,G1,G***,G1,G***,G1,G***";"Robotarna";8;"LOGO";;;
11;"G2,G2,G2,G2";"Helceletka";4;"LOGO";;;
12;"J3,J3,J3,J3";"USB_A_CNCTech_1001-011-01101_Horizontal";4;"USB_A";;;
13;"U1,U1,U1,U1";"ESP-01";4;"ESP-01";;;
14;"U2,U2,U2,U2";"SOT-223-3_TabPin2";4;"AMS1117-3.3";;;
15;"SW1,SW1,SW1,SW1";"SW_PUSH_6mm";4;"SW_Push";;;
16;"R9,R8,R9,R8,R9,R8,R9,R8";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"1k";;;
17;"R7,R6,R5,R7,R6,R5,R7,R6,R5,R7,R6,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";12;"75R";;;
18;"C1,C1,C1,C1";"CP_Radial_D6.3mm_P2.50mm";4;"47uF";;;
