Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-91.911001,-78.955566,90.000000,bottom
"C2","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-91.911001,-53.593501,90.000000,bottom
"C2","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-91.911001,-104.317631,90.000000,bottom
"C2","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-91.911001,-129.679696,90.000000,bottom
"C3","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-79.211001,-105.587631,90.000000,bottom
"C3","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-79.211001,-80.225566,90.000000,bottom
"C3","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-79.211001,-54.863501,90.000000,bottom
"C3","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-79.211001,-130.949696,90.000000,bottom
"C4","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-83.021001,-139.204696,90.000000,bottom
"C4","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-83.021001,-113.842631,90.000000,bottom
"C4","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-83.021001,-63.118501,90.000000,bottom
"C4","100nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-83.021001,-88.480566,90.000000,bottom
"C5","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-76.036001,-130.949696,90.000000,bottom
"C5","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-76.036001,-54.863501,90.000000,bottom
"C5","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-76.036001,-105.587631,90.000000,bottom
"C5","22pF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-76.036001,-80.225566,90.000000,bottom
"Q1","BC817","SOT-23",-96.676001,-134.612196,90.000000,bottom
"Q1","BC817","SOT-23",-96.676001,-58.526001,90.000000,bottom
"Q1","BC817","SOT-23",-96.676001,-109.250131,90.000000,bottom
"Q1","BC817","SOT-23",-96.676001,-83.888066,90.000000,bottom
"Q2","BC817","SOT-23",-100.486001,-58.526001,90.000000,bottom
"Q2","BC817","SOT-23",-100.486001,-109.250131,90.000000,bottom
"Q2","BC817","SOT-23",-100.486001,-83.888066,90.000000,bottom
"Q2","BC817","SOT-23",-100.486001,-134.612196,90.000000,bottom
"Q3","BC817","SOT-23",-92.866001,-83.888066,90.000000,bottom
"Q3","BC817","SOT-23",-92.866001,-58.526001,90.000000,bottom
"Q3","BC817","SOT-23",-92.866001,-134.612196,90.000000,bottom
"Q3","BC817","SOT-23",-92.866001,-109.250131,90.000000,bottom
"Q4","BC817","SOT-23",-89.051001,-109.250131,90.000000,bottom
"Q4","BC817","SOT-23",-89.051001,-58.526001,90.000000,bottom
"Q4","BC817","SOT-23",-89.051001,-134.612196,90.000000,bottom
"Q4","BC817","SOT-23",-89.051001,-83.888066,90.000000,bottom
